environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
5,1041,1,1138,ST-EA*,15.0248042,14880,0,0,0,NaN,NaN,NaN,620,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
5,1041,1,1149,Greedy,0.1169749,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,4050.79120984772,39.8632895269475,0,final_hard_constraint_violation
5,1041,2,1158,RA-ALA,325.993782,17895,3240,0,0,307.1388707,1.0283143,0.2998762,80,0,1,0,0,10,108.546274090123,0.873273789287861,0,final_hard_constraint_violation
5,1041,2,1169,Energy-A*,15.0635534,14235,0,0,0,NaN,NaN,NaN,1078,1,1,1,0,56,326.947438631726,3.16135600030616,0,timeout_without_feasible_output
5,1041,2,1180,Informed-RRT*,15.0158638,9460,0,0,0,NaN,NaN,NaN,1003,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
5,1041,2,1191,ST-EA*,15.0111534,14856,0,0,0,NaN,NaN,NaN,619,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
5,1041,2,1202,Greedy,0.1119077,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,4050.79120984772,39.8632895269475,0,final_hard_constraint_violation
5,1041,3,1211,RA-ALA,271.1503584,17223,3240,0,0,252.8342046,0.6876661,0,80,1,1,0,0,98,15.8018101092693,0,1,none
5,1041,3,1222,Energy-A*,15.0700236,14655,0,0,0,NaN,NaN,NaN,1116,1,1,1,0,56,326.947438631726,3.16135600030616,0,timeout_without_feasible_output
5,1041,3,1233,Informed-RRT*,15.0042657,10931,0,0,0,NaN,NaN,NaN,963,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
5,1041,3,1244,ST-EA*,15.0209444,14784,0,0,0,NaN,NaN,NaN,616,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
5,1041,3,1255,Greedy,0.1132896,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,4050.79120984772,39.8632895269475,0,final_hard_constraint_violation
6,1103,1,1167,RA-ALA,220.3044205,17316,3240,0,0,202.1158035,0.6314138,0,80,1,1,0,0,10,7.05085178826035,0,1,none
6,1103,1,1178,Energy-A*,15.0073402,14321,0,0,0,NaN,NaN,NaN,1151,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,1,1189,Informed-RRT*,15.019483,7111,0,0,0,NaN,NaN,NaN,1009,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,1,1200,ST-EA*,1.3311968,1249,0,0,0,NaN,NaN,NaN,53,1,0,0,0,47,9.15067694141527,0,1,none
6,1103,1,1211,Greedy,0.3772059,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,211,12404.3605676054,122.910741594659,0,final_hard_constraint_violation
6,1103,2,1220,RA-ALA,213.1283965,17694,3240,0,0,194.9164491,0.6432886,0,80,1,1,0,0,10,7.89211314077143,0,1,none
6,1103,2,1231,Energy-A*,15.0048777,13234,0,0,0,NaN,NaN,NaN,1056,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,2,1242,Informed-RRT*,15.0140035,6796,0,0,0,NaN,NaN,NaN,1066,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,2,1253,ST-EA*,1.32886,1249,0,0,0,NaN,NaN,NaN,53,1,0,0,0,47,9.15067694141527,0,1,none
6,1103,2,1264,Greedy,0.4691653,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,211,12404.3605676054,122.910741594659,0,final_hard_constraint_violation
