case_id,environment_id,environment_seed,run_within_environment,algorithm_seed,spacing_m,J,energy_Wh,arrival_time_s,dynamic_risk,penalty_total,penalty_height,penalty_static,penalty_dynamic,penalty_nfz,feasible,static_violation,dynamic_violation,nfz_violation,total_subsamples,evaluation_time_s,status
17,6,1103,2,1220,1.5,7.57206603738815,6.06461857513048,58.7749979922924,0.00859572481150989,0,0,0,0,0,1,0,0,0,805,0.0566147,ok
17,6,1103,2,1220,0.75,7.58153706289054,6.07266315611751,58.7701837101337,0.00874238116484504,0,0,0,0,0,1,0,0,0,1606,0.1015871,ok
18,6,1103,3,1273,3,9.37560220629454,6.88112724084049,61.0909834058334,0.0134070484469595,0,0,0,0,0,1,0,0,0,427,0.0281448,ok
18,6,1103,3,1273,1.5,20.7757179879012,6.9023538906973,61.1438834021979,0.0148882419280053,0.113636363636364,0,0,0.113636363636364,0,0,0,1,0,850,0.05657,ok
18,6,1103,3,1273,0.75,19.1228671734173,6.90190958129982,61.1606650442141,0.0145686716527428,0.0971428571428571,0,0,0.0971428571428571,0,0,0,1,0,1695,0.1075125,ok
19,7,1227,1,1291,3,11.4933092051505,9.37666143692955,103.985977293462,0,0,0,0,0,0,1,0,0,0,431,0.0296791,ok
19,7,1227,1,1291,1.5,11.5809026351588,9.46160919345862,104.303458110981,0,0,0,0,0,0,1,0,0,0,854,0.0543667,ok
19,7,1227,1,1291,0.75,11.5745921052357,9.45544881564736,104.285439857555,0,0,0,0,0,0,1,0,0,0,1705,0.1094396,ok
20,7,1227,2,1344,3,14.4382496766985,10.554878520738,98.4712715823991,0,0,0,0,0,0,1,0,0,0,426,0.0274036,ok
20,7,1227,2,1344,1.5,14.6981848330515,10.7975992413455,100.537003871862,0,0,0,0,0,0,1,0,0,0,849,0.055534,ok
20,7,1227,2,1344,0.75,14.7559218376798,10.8562730051316,100.424592772928,0,0,0,0,0,0,1,0,0,0,1692,0.1084567,ok
21,7,1227,3,1397,3,12.1547203991239,9.6841244133595,103.626045719858,0,0,0,0,0,0,1,0,0,0,422,0.0278514,ok
21,7,1227,3,1397,1.5,12.2029564358699,9.73233121250393,103.629554232047,0,0,0,0,0,0,1,0,0,0,835,0.0531623,ok
21,7,1227,3,1397,0.75,12.2571661065234,9.78479917518207,103.838559189082,0,0,0,0,0,0,1,0,0,0,1664,0.1064008,ok
22,8,1909,1,1973,3,8.77218980389872,6.76507836678595,61.3831475277863,5.21838816689122e-05,0,0,0,0,0,1,0,0,0,419,0.0273631,ok
22,8,1909,1,1973,1.5,8.88682434371507,6.88042290909263,61.3090969947178,4.28924101938106e-05,0,0,0,0,0,1,0,0,0,833,0.0558539,ok
22,8,1909,1,1973,0.75,8.88273588035619,6.87669169778802,61.2548654118931,5.23601904547575e-05,0,0,0,0,0,1,0,0,0,1663,0.1075788,ok
23,8,1909,2,2026,3,9.23405324363566,7.02286959502536,62.2209652965185,0,0,0,0,0,0,1,0,0,0,424,0.0274104,ok
23,8,1909,2,2026,1.5,9.44502942927282,7.23392403578501,62.2115746818192,0,0,0,0,0,0,1,0,0,0,842,0.0539896,ok
23,8,1909,2,2026,0.75,9.4735848863925,7.26352312212622,62.0863391752354,0,0,0,0,0,0,1,0,0,0,1680,0.1051243,ok
24,8,1909,3,2079,3,7.72350084814926,6.35872644812525,61.4462075462207,0,0,0,0,0,0,1,0,0,0,407,0.0277866,ok
24,8,1909,3,2079,1.5,9.67939187479763,6.41698314823573,61.220904700846,0,0.0189951185024934,0.00909412840348346,0.0099009900990099,0,0,0,1,0,0,811,0.0510019,ok
24,8,1909,3,2079,0.75,10.6443394751843,6.43785311677662,61.2929437641344,0,0.028429891565677,0.0135784064171622,0.0148514851485149,0,0,0,1,0,0,1618,0.1029576,ok
25,9,1971,1,2035,3,19.2859917114906,10.7048630315072,113.381696085835,0.00530261176664311,0.0597014925373134,0,0,0.0597014925373134,0,0,0,1,0,527,0.0360622,ok
25,9,1971,1,2035,1.5,19.7962463895314,11.1619500996403,114.223591716277,0.00542895904001796,0.0601503759398496,0,0,0.0601503759398496,0,0,0,1,0,1049,0.0770717,ok
25,9,1971,1,2035,0.75,20.1603388150563,11.1510015999111,114.163960708194,0.0053887591097573,0.0639097744360902,0,0,0.0639097744360902,0,0,0,1,0,2094,0.133284,ok
26,9,1971,2,2088,3,22.4915914860699,10.4453553107405,110.315327080366,0.0112644216760029,0.0833333333333333,0,0,0.0833333333333333,0,0,0,1,0,477,0.0307003,ok
26,9,1971,2,2088,1.5,22.059987201558,10.7918547901044,112.795628042843,0.0147204611530256,0.075,0,0,0.075,0,0,0,1,0,951,0.0605658,ok
26,9,1971,2,2088,0.75,22.3995476703545,10.6851866254262,112.565199550107,0.0145562687465373,0.0794979079497908,0,0,0.0794979079497908,0,0,0,1,0,1898,0.1207766,ok
27,9,1971,3,2141,3,25.3309445858431,13.6937172796019,117.998541275926,0.00694187208597143,0.0606060606060606,0,0,0.0606060606060606,0,0,0,1,0,544,0.0355715,ok
27,9,1971,3,2141,1.5,24.6737094233588,13.7857783165133,117.744183352809,0.00798179283990683,0.053030303030303,0,0,0.053030303030303,0,0,0,1,0,1084,0.0705169,ok
27,9,1971,3,2141,0.75,24.9855935731298,13.7230084651458,117.882843328256,0.00745285509543123,0.0568181818181818,0,0,0.0568181818181818,0,0,0,1,0,2165,0.1373457,ok
28,10,2312,1,2376,3,39.5661762413474,8.21878371631659,83.3148214349431,0.00152242432171283,0.282247175598551,0.245661809744893,0.0365853658536585,0,0,0,1,0,0,453,0.0292772,ok
28,10,2312,1,2376,1.5,44.3458013363164,8.38375894489432,82.8386499075453,0.000780113704846352,0.328507586284767,0.285824659455498,0.0426829268292683,0,0,0,1,0,0,905,0.0610682,ok
28,10,2312,1,2376,0.75,44.352228461406,8.39029988436513,82.8347748451037,0.000771961485425717,0.328507586284767,0.285824659455498,0.0426829268292683,0,0,0,1,0,0,1808,0.1157769,ok
29,10,2312,2,2429,3,10.6178421789608,8.05252746167271,83.7881651609113,0.00408891396241211,0,0,0,0,0,1,0,0,0,444,0.0293059,ok
29,10,2312,2,2429,1.5,10.738503191405,8.16782677445127,83.4311841815107,0.00492256807847554,0,0,0,0,0,1,0,0,0,881,0.0555818,ok
29,10,2312,2,2429,0.75,10.7155030666745,8.14699846796823,83.512178262879,0.00463789118592585,0,0,0,0,0,1,0,0,0,1755,0.111911,ok
30,10,2312,3,2482,3,10.4646624558612,7.92608470611413,83.3110945696012,0.00226083626470845,0,0,0,0,0,1,0,0,0,452,0.0305576,ok
30,10,2312,3,2482,1.5,10.7293031863777,8.19609996127518,83.4414987767313,0.00161471362764477,0,0,0,0,0,1,0,0,0,902,0.0573432,ok
30,10,2312,3,2482,0.75,10.8242383481188,8.29200480473308,83.4623906739701,0.00150033554159822,0,0,0,0,0,1,0,0,0,1801,0.1144024,ok
